0,1
shebang,#!
slashdot,/.
first_generation_programming_language,1gl
first_normal_form,1nf
10base_2,10b2
10base_5,10b5
10base_f,10b_f
10base_fb,10b_fb
10base_fl,10b_fl
10base_fp,10b_fp
10base_t,10b_t
100base_fx,100b_fx
100base_t,100b_t
100base_tx,100b_tx
100base_vg,100bvg
intel_80286_processor,286
2_binary_1_quaternary,2b1q
two_factor_authentication,2fa
second_generation_programming_language,2gl
second_normal_form,2nf
third_generation_programming_language,3gl
third_normal_form,3nf
intel_80386_processor,386
intel_80486_processor,486
f—4_byte_5_byte_local_fiber,4b5b
fourth_generation_programming_language,4gl
fourth_normal_form,4nf
fifth_generation_programming_language,5gl
fifth_normal_form,5nf
sixth_normal_form,6nf
8_byte_10_byte_local_fiber,8b10blf
wireless_lan,802.11
"authentication_authorization,_accounting",aaa
axis_aligned_bounding_box,aabb
advanced_audio_coding,aac
atm_adaptation_layer,aal
atm_adaptation_layer_connection,aalc
appletalk_address_resolution_protocol,aarp
attribute_based_access_control,abac
actor_based_concurrent_language,abcl
application_binary_interface,abi
asynchronous_balanced_mode,abm
area_border_router,abr
auto_baud_rate_detection,abr
available_bitrate,abr
average_bitrate,abr
acoustic_coupler,ac
alternating_current,ac
automatic_call_distributor,acd
advanced_computing_environment,ace
atomicity_consistency_isolation_durability,acid
acknowledgement,ack
amsterdam_compiler_kit,ack
access_control_list,acl
active_current_loop,acl
association_for_computing_machinery,acm
automated_classification_of_medical_entities,acme
airline_control_program,acp
advanced_configuration_and_power_interface,acpi
allowed_cell_rate,acr
attenuation_to_crosstalk_ratio,acr
active_directory,ad
administrative_domain,ad
analog_to_digital_converter,adc
apple_display_connector,adc
apple_desktop_bus,adb
advanced_data_communications_control_procedures,adccp
activex_data_objects,ado
asymmetric_digital_subscriber_line,adsl
abstract_data_type,adt
adaptive_equalizer,ae
advanced_encryption_standard,aes
anisotropic_filtering,af
apple_filing_protocol,afp
accelerated_graphics_port,agp
active_hub,ah
artificial_intelligence,ai
advanced_interactive_executive,aix
asynchronous_javascript_and_xml,ajax
active_link,al
access_list,al
apple_lossless_audio_codec,alac
algorithmic_language,algol
advanced_linux_sound_architecture,alsa
arithmetic_and_logical_unit,alu
access_method,am
active_matrix,am
active_matrix_organic_light_emitting_diode,amoled
active_monitor,am
allied_mastercomputer,am
amplitude_modulation,am
advanced_micro_devices,amd
advanced_message_queuing_protocol,amqp
audio_modem_riser,amr
artificial_neural_network,ann
american_national_standards_institute,ansi
another_neat_tool,ant
ata_over_ethernet,aoe
aspect_oriented_programming,aop
application_layer_protocol_control_information,apci
application_programming_interface,api
advanced_programmable_interrupt_controller,apic
automatic_private_ip_addressing,apipa
a_programming_language,apl
apache_portable_runtime,apr
adaptive_replacement_cache,arc
advanced_risc_computing,arc
american_registry_for_internet_numbers,arin
advanced_risc_machines,arm
aros_research_operating_system,aros
address_resolution_protocol,arp
address_and_routing_parameter_area,arpa
advanced_research_projects_agency,arpa
advanced_research_projects_agency_network,arpanet
access_server,as
american_standard_code_for_information_interchange,ascii
authenticated_internet_protocol,authip
automated_security_enhancement_tool,aset
abstract_semantic_graph,asg
application_specific_integrated_circuit,asic
advanced_step_in_innovative_mobility,asimo
address_space_layout_randomization,aslr
algorithmic_state_machine,asm
asymmetric_multiprocessing,asmp
abstract_syntax_notation_1,asn.1
active_server_pages,asp
application_service_provider,asp
asynchronous_signal_routine,asr
abstract_syntax_tree,ast
advanced_technology,at
access_time,at
active_terminator,at
advanced_technology_attachment,ata
authoring_tool_accessibility_guidelines,atag
advanced_technology_attachment_packet_interface,atapi
asynchronous_transfer_mode,atm
antivirus,av
advanced_video_coding,avc
audio_video_interleaved,avi
aho_weinberger_kernighan,awk
abstract_window_toolkit,awt
acronym_with_four_letters,awfl
business_to_business,b2b
business_to_consumer,b2c
business_to_employee,b2e
basic_assembly_language,bal
block_availability_map,bam
bourne_again_shell,bash
beginner's_all_purpose_symbolic_instruction_code,basic
baseband_processor,bbp
bulletin_board_system,bbs
business_continuity,bc
binary_coded_decimal,bcd
boot_configuration_data,bcd
boyce–codd_normal_form,bcnf
blocks_extensible_exchange_protocol,beep
bit_error_rate,ber
bidirectional_forwarding_detection,bfd
binary_file_descriptor,bfd
breadth_first_search,bfs
byzantine_fault_tolerant,bft
border_gateway_protocol,bgp
business_intelligence,bi
bi_directional,bidi
binary,bin
binary_automatic_computer,binac
berkeley_internet_name_domain,bind
basic_input_output_system,bios
bipolar_junction_transistor,bjt
binary_digit,bit
binary_large_object,blob
web_log,blog
basic_multilingual_plane,bmp
bayonet_neill_concelman,bnc
berkeley_open_infrastructure_for_network_computing,boinc
byte_order_mark,bom
bootstrap_protocol,bootp
bridge_protocol_data_unit,bpdu
business_process_execution_language,bpel
broadband_over_power_lines,bpl
business_process_management,bpm
business_process_modeling,bpm
bits_per_second,bps
business_reference_model,brm
business_rule_management_system,brms
business_readiness_rating,brr
broadband_radio_service,brs
business_software_alliance,bsa
backside_bus,bsb
berkeley_software_distribution,bsd
blue_screen_of_death,bsod
block_started_by_symbol,bss
bittorrent,bt
bluetooth,bt
basic_telecommunications_access_method,b_tam
bandwidth,bw
bring_your_own_device,byod
by_eight_(group_of_8_bits),byte
computer_accountancy,ca
computer_aided_design,cad
computer_aided_engineering,cae
computer_aided_industrial_design,caid
computer_aided_instruction,cai
computer_aided_manufacturing,cam
completely_automated_public_turing_test_to_tell_computers_and_humans_apart,captcha
computer_aided_translation,cat
computer_aided_quality_assurance,caq
computer_aided_software_engineering,case
c_compiler,cc
compact_disc,cd
common_desktop_environment,cde
compact_disk_file_system,cdfs
code_division_multiple_access,cdma
content_delivery_network,cdn
cisco_discovery_protocol,cdp
continuous_data_protection,cdp
cd_recordable,cd_r
cd_read_only_memory,cd_rom
cd_rewritable,cd_rw
common_data_security_architecture,cdsa
computer_emergency_response_team,cert
consumer_electronics_show,ces
compact_flash,cf
computational_fluid_dynamics,cfd
context_free_grammar,cfg
control_flow_graph,cfg
computer_graphics,cg
color_graphics_array,cga
common_gateway_interface,cgi
computer_generated_imagery,cgi
computational_graph_theory,cgt
challenge_handshake_authentication_protocol,chap
cylinder_head_sector,chs
classless_inter_domain_routing,cidr
common_internet_filesystem,cifs
common_information_model,cim
computationally_independent_model,cim
chief_information_officer,cio
committed_information_rate,cir
complex_instruction_set_computer,cisc
"chinese,_japanese,_and_korean",cjk
"chinese,_japanese,_korean,_and_vietnamese",cjkv
command_line_interface,cli
common_language_runtime,clr
configuration_management,cm
content_management,cm
configuration_management_database,cmdb
capability_maturity_model_integration,cmmi
complementary_metal_oxide_semiconductor,cmos
current_mode_of_operation,cmo
content_management_system,cms
canonical_name,cn
common_name,cn
computer_numerical_control,cnc
cryptographic_next_generation,cng
cryptography_next_generation,cng
communications_and_networking_riser,cnr
common_business_oriented_language,cobol
component_object_model_or_communication,com
common_object_request_broker_architecture,corba
commercial_off_the_shelf,cots
cell_processor_architecture,cpa
comprehensive_perl_archive_network,cpan
control_program/monitor,cp/m
common_public_radio_interface,cpri
characters_per_second,cps
central_processing_unit,cpu
carriage_return,cr
comprehensive_r_archive_network,cran
cyclic_redundancy_check,crc
carriage_return_line_feeds,crlf
customer_relationship_management,crm
computer_reservations_system,crs
cathode_ray_tube,crt
"create,_read,_update_and_delete",crud
cable_select,cs
computer_science,cs
computer_science_and_engineering,cse
common_system_interface,csi
compatibility_support_module,csm
carrier_sense_multiple_access_with_collision_detection,csma/cd
cloud_service_provider,csp
communicating_sequential_processes,csp
cross_site_request_forgery,csrf
cascading_style_sheets,css
content_scrambling_system,css
closed_source_software,css
cross_site_scripting,css
comma_separated_values,csv
computerized_tomography,ct
comprehensive_tex_archive_network,ctan
client_to_client_protocol,ctcp
computer_telephony_integration,cti
compile_time_function_execution,ctfe
computational_tree_logic,ctl
close_to_metal,ctm
clear_to_send,cts
compatible_time_sharing_system,ctss
common_user_access,cua
concurrent_versioning_system|cvs,concurrent_versions_system
concurrent_versioning_system,cvs
digital_to_analog_converter,dac
discretionary_access_control,dac
database_abstraction_layer,dal
data_access_object,dao
data_access_objects,dao
disk_at_once,dao
directory_access_protocol,dap
defense_advanced_research_projects_agency,darpa
digital_audio_tape,dat
database,db
database_administrator,dba
double_byte_character_set,dbcs
database_management_system,dbms
direct_client_to_client,dcc
datagram_congestion_control_protocol,dccp
debian_common_core_alliance,dcca
data_control_language,dcl
distributed_control_system,dcs
dublin_core_metadata_initiative,dcmi
distributed_component_object_model,dcom
double_density,dd
dynamic_data_exchange,dde
dns_dhcp_&_ip_address_management,ddi
data_definition_language,ddl
distributed_denial_of_service,ddos
double_data_rate,ddr
digital_equipment_corporation,dec
data_encryption_standard,des
development,dev
deterministic_finite_automaton,dfa
data_flow_diagram,dfd
depth_first_search,dfs
distributed_file_system,dfs
dworkin's_game_driver,dgd
dynamic_host_configuration_protocol,dhcp
dynamic_hypertext_markup_language,dhtml
data_integrity_field,dif
dual_inline_memory_module,dimm
deutsches_institut_für_normung,din
dual_in_line_package,dip
deployment_image_and_service_management_tool,dism
digital_video_express,divx
domain_keys_identified_mail,dkim
download,dl
dynamic_link_library,dll
digital_living_network_alliance,dlna
data_loss_protection,dlp
direct_memory_access,dma
digital_millennium_copyright_act,dmca
direct_media_interface,dmi
data_manipulation_language,dml
definitive_media_library,dml
dennis_m._ritchie,dmr
demilitarized_zone,dmz
distinguished_name,dn
drag_and_drop,dnd
domain_name_system,dns
dead_on_arrival,doa
data_over_cable_service_interface_specification,docsis
document_object_model,dom
denial_of_service,dos
disk_operating_system,dos
dot_pitch,dp
deferred_procedure_call,dpc
deep_packet_inspection,dpi
dots_per_inch,dpi
dos_protected_mode_interface,dpmi
display_power_management_signaling,dpms
disaster_recovery,dr
dynamic_random_access_memory,dram
digital_research___disk_operating_system,dr_dos
direct_rendering_infrastructure,dri
digital_rights_management,drm
direct_rendering_manager,drm
digital_signature_algorithm,dsa
document_schema_definition_languages,dsdl
dynamic_systems_development_method,dsdm
digital_subscriber_line,dsl
domain_specific_language,dsl
digital_subscriber_line_access_multiplexer,dslam
database_source_name,dsn
data_set_name,dsn
digital_signal_processor,dsp
document_style_semantics_and_specification_language,dsssl
document_type_definition,dtd
data_terminal_equipment_or_data_transfer_rate,dte
desktop_publishing,dtp
data_terminal_ready_or_data_transfer_rate,dtr
digital_versatile_disc,dvd
dvd_recordable,dvd_r
dvd_read_only_memory,dvd_rom
dvd_rewritable,dvd_rw
digital_visual_interface,dvi
digital_video_recorder,dvr
data_warehouse,dw
enterprise_application_integration,eai
extensible_authentication_protocol,eap
exchange_activesync,eas
extended_binary_coded_decimal_interchange_code,ebcdic
extensible_binary_meta_language,ebml
elliptic_curve_cryptography,ecc
european_computer_manufacturers_association,ecma
explicit_congestion_notification,ecn
embedded_configurable_operating_system,ecos
expense_and_cost_recovery_system,ecrs
electronic_design_automation,eda
_enhanced_data_rates_for_gsm_evolution,edge
electronic_data_interchange,edi
extended_data_out,edo
electronic_delay_storage_automatic_calculator,edsac
electronic_discrete_variable_automatic_computer,edvac
electronically_erasable_programmable_read_only_memory,eeprom
electronic_frontier_foundation,eff
extensible_firmware_interface,efi
eight_to_fourteen_modulation,efm
ethernet_in_the_first_mile,efm
encrypting_file_system,efs
enhanced_graphics_array,ega
electronic_mail,e_mail
exterior_gateway_protocol,egp
electronic_id_card,eid
enhanced_ide,eide
enhanced_interior_gateway_routing_protocol,eigrp
extended_industry_standard_architecture,eisa
extremely_low_frequency,elf
executable_and_linkable_format,elf
electronic_mail,elm
editor_macros,emacs
expanded_memory_specification,ems
electronic_numerical_integrator_and_computer,eniac
end_of_day,eod
end_of_file,eof
end_of_line,eol
end_of_message,eom
end_of_support,eos
explicitly_parallel_instruction_computing,epic
erasable_programmable_read_only_memory,eprom
entity_relationship_diagram,erd
entity_relationship_model,erm
enterprise_resource_planning,erp
external_sata,esata
enterprise_service_bus,esb
enterprise_systems_connection,escon
electrostatic_discharge,esd
eric_steven_raymond,esr
"extract,_transform,_load",etl
event_tracing_for_windows,etw
extended_unix_code,euc
end_user_license_agreement,eula
extended_window_manager_hints,ewmh
extended_file_system,ext
fortran_assembly_program,fap
flat_assembler,fasm
file_allocation_table,fat
frequently_asked_questions,faq
fully_buffered_dual_inline_memory_module,fbdimm
fibre_channel_arbitrated_loop,fc_al
file_control_block,fcb
frame_check_sequence,fcs
floppy_disk_controller,fdc
fedora_directory_server,fds
frequency_division_duplexing,fdd
floppy_disk_drive,fdd
fiber_distributed_data_interface,fddi
frequency_division_multiplexing,fdm
frequency_division_multiple_access,fdma
forward_error_correction,fec
front_end_motherboard,femb
field_effect_transistor,fet
filesystem_hierarchy_standard,fhs
fiber_connectivity,ficon
first_in_first_out,fifo
federal_information_processing_standards,fips
function_level,fl
free_lossless_audio_codec,flac
floating_point_operations_per_second,flops
free/libre/open_source_software,floss
"_fixed_mobile_convergence_""mobile_uc_or_unified_communications_over_wireless""",fmc
future_mode_of_operation,fmo
free_on_line_dictionary_of_computing,foldoc
free_and_open_source_software_developers'_european_meeting,fosdem
formatted_output_specification_instance,fosi
free_and_open_source_software,foss
function_programming,fp
field_programmable_gate_array,fpga
floating_point_systems,fps
floating_point_unit,fpu
field_replaceable_unit,fru
file_system,fs
front_side_bus,fsb
file_system_check,fsck
free_software_foundation,fsf
finite_state_machine,fsm
fiber_to_the_antenna,ftta
fiber_to_the_curb,fttc
fiber_to_the_home,ftth
fiber_to_the_premises,fttp
file_transfer_protocol,ftp
fully_qualified_domain_name,fqdn
fear_uncertainty_doubt,fud
folding_white_space,fws
file_exchange_protocol,fxp
for_your_information,fyi
full_volume_encryption_key,fvek
globalization,g11n
gnu_assembler,gas
gigabit,gb
gigabyte,gb
gnu_compiler_collection,gcc
gnu_compiler_for_java,gcj
group_coded_recording,gcr
gnu_debugger,gdb
graphics_device_interface,gdi
gnu_free_documentation_license,gfdl
graphics_interchange_format,gif
"garbage_in,_garbage_out",gigo
gnu_image_manipulation_program,gimp
great_internet_mersenne_prime_search,gimps
geographic_information_system,gis
opengl_utility_toolkit,glut
geography_markup_language,gml
gnu_network_object_model_environment,gnome
graphical_user_interfase,gui
gnu's_not_unix,gnu
"goals,_operators,_methods,_and_selection_rules",goms
gnu_pic_assembler,gpasm
general_parallel_file_system,gpfs
gnu_privacy_guard,gpg
general_purpose_computing_on_graphics_processing_units,gpgpu
general_purpose_instrumentation_bus,gpib
general_public_license,gpl
general_purpose_language,gpl
general_packet_radio_service,gprs
guid_partition_table,gpt
graphics_processing_unit,gpu
grand_unified_boot_loader,grub
gsm_edge_radio_access_network,geran
global_system_for_mobile_communications,gsm
gimp_toolkit,gtk+
graphical_user_interface,gui
globally_unique_identifier,guid
google_web_toolkit,gwt
it_networking,gyr
high_availability,ha
hardware_abstraction_layer,hal
html_application_rapid_development,hard
houston_automatic_spooling_priority,hasp
host_bus_adapter,hba
human_computer_interaction,hci
high_density,hd
hard_disk_drive,hdd
hardware_compatibility_list,hcl
high_definition_dvd,hd_dvd
hardware_description_language,hdl
high_definition_multimedia_interface,hdmi
host_embedded_controller_interface,heci
high_frequency,hf
hierarchical_file_system,hfs
hybrid_hard_drive,hhd
human_interface_device,hid
human_interface_guidelines,hig
hurd_of_interfaces_representing_depth,hird
high_level_assembler,hlasm
http_live_streaming,hls
high_memory_area,hma
hewlett_packard,hp
high_performance_computing,hpc
high_performance_file_system,hpfs
high_speed_downlink_packet_access,hsdpa
high_throughput_computing,htc
hierarchical_storage_management,hsm
hyper_threading,ht
hierarchical_temporal_memory,htm
hypertext_markup_language,html
hypertext_transfer_protocol,http
hypertext_transport_protocol_daemon,httpd
http_secure,https
hypertransport_expansion,htx
hird_of_unix_replacing_daemons,hurd
holographic_versatile_disc,hvd
hertz,hz
inter_integrated_circuit,i²c
integrated_interchip_sound,i²s
internationalization,i18n
internet_assigned_numbers_authority,iana
intel_binary_compatibility_standard,ibcs
international_business_machines,ibm
integrated_circuit,ic
internet_corporation_for_assigned_names_and_numbers,icann
in_circuit_emulator,ice
intrusion_countermeasure_electronics,ice
i/o_controller_hub,ich
internet_control_message_protocol,icmp
internet_cache_protocol,icp
internet_connection_sharing,ics
information_and_communication_technology,ict
integrated_development_environment,ide
integrated_drive_electronics,ide
intermediate_distribution_frame,idf
intermediate_data_format,idf
interactive_data_language,idl
interface_definition_language,idl
intrusion_detection_system,ids
internet_explorer,ie
international_electrotechnical_commission,iec
institute_of_electrical_and_electronics_engineers,ieee
internet_engineering_task_force,ietf
integrated_facility_for_linux,ifl
internet_group_management_protocol,igmp
interior_gateway_routing_protocol,igrp
independent_hardware_vendor,ihv
internet_inter_orb_protocol,iiop
internet_information_services,iis
internet_key_exchange,ike
intermediate_language,il
instant_messaging,im
internet_message_access_protocol,imap
input_method_editor,ime
information_systems_security,infosec
input/output,i/o
internet_of_things,iot
intellectual_property,ip
internet_protocol,ip
ip_address_management,ipam
inter_process_communication,ipc
initial_program_load,ipl
intelligent_platform_management_interface,ipmi
inter_procedural_optimization,ipo
internet_printing_protocol,ipp
in_plane_switching,ips
instructions_per_second,ips
intrusion_prevention_system,ips
internet_protocol_security,ipsec
internet_protocol_television,iptv
internet_protocol_version_4,ipv4
internet_protocol_version_6,ipv6
internetwork_packet_exchange,ipx
intermediate_representation,ir
internet_relay_chat,irc
infrared_data_association,irda
internationalized_resource_identifier,iri
interface,i/f
i/o_request_packet,irp
interrupt_request,irq
information_systems,is
intermediate_system_to_intermediate_system,is_is
industry_standard_architecture,isa
instruction_set_architecture,isa
indexed_sequential_access_method,isam
intra_site_automatic_tunnel_addressing_protocol,isatap
internet_storm_center,isc
internet_small_computer_system_interface,iscsi
integrated_services_digital_network,isdn
international_organization_for_standardization,iso
internet_storage_name_service,isns
internet_service_provider,isp
interactive_system_productivity_facility,ispf
interrupt_service_routine,isr
independent_software_vendor,isv
information_technology,it
information_technology_infrastructure_library,itil
interval_temporal_logic,itl
international_telecommunication_union,itu
interactive_voice_response_system,ivrs
interactive_virtual_classroom,ivcr
java_2_enterprise_edition,j2ee
java_2_micro_edition,j2me
java_2_standard_edition,j2se
java_architecture_for_xml_binding,jaxb
java_xml_for_remote_procedure_calls,jax_rpc
java_api_for_xml_processing,jaxp
just_a_bunch_of_disks,jbod
_java_cryptography_extension,jce
job_control_language,jcl
java_community_process,jcp
java_database_connectivity,jdbc
java_development_kit,jdk
java_enterprise_edition,jee
job_entry_subsystem,jes
java_desktop_system,jds
java_foundation_classes,jfc
junction_field_effect_transistor,jfet
ibm_journaling_file_system,jfs
jini_is_not_initials,jini
just_in_time,jit
java_micro_edition,jme
java_management_extensions,jmx
java_message_service,jms
java_naming_and_directory_interface,jndi
java_native_interface,jni
jump_non_zero,jnz
joint_photographic_experts_group,jpeg
java_runtime_environment,jre
javascript,js
java_standard_edition,jse
javascript_object_notation,json
jackson_structured_programming,jsp
javaserver_pages,jsp
joint_test_action_group,jtag
java_users_group,jug
java_virtual_machine,jvm
kernighan_and_ritchie,k&r
keyboard,kb
kilobit,kb
kilobyte,kb
knowledge_base,kb
kibibyte,kib
k_desktop_environment,kde
kilohertz,khz
